Fecha/Hora,Posición,Símbolo,Tipo,Volumen,Precio,S / L,T / P,Fecha/Hora.1,Precio.1,Comisión,Swap,Beneficio,,
2022.09.19 06:48:22,78285033,EURUSD,buy,0.25,0.99981,0.99658,1.00106,2022.09.19 10:02:17,0.99658,0,0,-80.75,,
2022.09.19 07:06:16,78285242,GBPUSD,buy,0.5,1.14047,1.13915,1.14125,2022.09.19 08:39:15,1.13915,0,0,-66,,
2022.09.19 07:12:24,78285315,USDJPY,sell,0.25,143.141,143.507,142.654,2022.09.19 10:49:03,143.528,0,0,-67.41,,
2022.09.19 07:20:10,78285400,EURCAD,sell,0.25,1.32833,1.33009,1.3256,2022.09.19 13:49:48,1.33009,0,0,-33.07,,
2022.09.19 23:10:25,78323481,GBPUSD,buy,0.15,1.14354,1.14294,1.14397,2022.09.20 01:13:29,1.14397,0,-0.82,6.45,,
2022.09.19 23:30:01,78323676,EURCAD,sell,0.2,1.32801,1.32919,1.3277,2022.09.20 00:18:17,1.32936,0,0.99,-20.37,,
2022.09.19 23:37:23,78323753,EURUSD,buy,0.1,1.00239,1.00241,1.003,2022.09.20 00:45:40,1.0024,0,-0.66,0.1,,
2022.09.20 00:42:55,78324230,USDJPY,sell,0.1,143.21,143.237,143.177,2022.09.20 00:46:37,143.238,0,0,-1.95,,
2022.09.20 00:45:31,78324237,USDJPY,buy,0.01,143.225,143.18,143.283,2022.09.20 02:01:15,143.29,0,0,0.45,,
2022.09.20 21:53:18,78369793,GBPUSD,sell,0.1,1.13683,1.13744,1.13595,2022.09.20 22:02:37,1.13744,0,0,-6.1,,
2022.09.20 21:56:24,78369933,EURCAD,buy,0.15,1.33246,1.33079,1.33421,2022.09.21 00:02:58,1.33029,0,-1.37,-24.36,,
2022.09.20 22:03:14,78370217,USDJPY,buy,0.1,143.651,143.528,143.828,2022.09.21 03:00:53,143.527,0,0.52,-8.64,,
2022.09.20 22:23:29,78370777,EURUSD,sell,0.1,0.99646,0.9972,0.996,2022.09.20 22:32:51,0.9972,0,0,-7.4,,
2022.09.21 18:00:29,78408297,GBPUSD,sell,0.05,1.13286,1.1332,1.1325,2022.09.21 18:05:01,1.13249,0,0,1.85,,
2022.09.21 18:06:02,78408630,EURCAD,sell,0.05,1.32297,1.32446,1.3234,2022.09.21 18:13:35,1.3234,0,0,-1.61,,
2022.09.21 18:15:49,78409083,USDJPY,buy,0.01,144.104,144.048,144.188,2022.09.21 19:02:45,144.188,0,0,0.58,,
2022.09.21 18:19:15,78409233,EURUSD,sell,0.01,0.98671,0.98713,0.986,2022.09.21 18:20:17,0.98713,0,0,-0.42,,
2022.09.22 21:11:35,78486390,GBPUSD,sell,0.01,1.12566,1.12598,1.1247,2022.09.22 21:37:43,1.12599,0,0,-0.33,,
2022.09.22 21:31:13,78486896,EURUSD,buy,0.01,0.98344,0.98284,0.98435,2022.09.22 22:47:43,0.98435,0,0,0.91,,
2022.09.22 21:38:37,78487166,EURCAD,buy,0.01,1.32729,1.32647,1.32796,2022.09.22 21:54:36,1.32647,0,0,-0.61,,
2022.09.22 21:50:29,78487476,USDJPY,sell,0.01,142.417,142.522,142.231,2022.09.22 21:55:39,142.448,0,0,-0.22,,